Model,Feature_Selection,Dimensionality_Reduction_Technique,CV MSE Mean,CV MSE SD,CV MAE Mean,CV MAE SD,Final MSE,Final MAE
LR,None,None,2234.7155817949943,2649.173309831349,27.07610314019583,11.954319177297759,561.3881273064351,19.91340911270048
LR,ANOVA1,None,1073.162706707132,835.2671300299829,23.613517480131872,11.765660952461555,739.3797634747459,20.4804355353201
LR,ANOVA2,None,793.3831732141614,561.4856851272791,20.850426017775042,9.194171847139486,551.2314060540872,19.568893301642806
LR,ANOVA3,None,807.7864191697698,570.0490901729463,21.024810799447344,9.269288269713142,557.3277705613497,19.831901173758258
LR,CHISQ1,None,704.2739957127615,558.6767545825508,18.561593420201365,7.165047294907643,739.3797634747459,20.4804355353201
LR,CHISQ2,None,793.3831732141614,561.4856851272791,20.850426017775042,9.194171847139486,551.2314060540872,19.568893301642806
LR,CHISQ3,None,2190.156589232425,2565.4512380435917,27.03833271963731,11.74740092595221,555.441496125984,19.659613521188938
LR,MIT1,None,704.2739957127615,558.6767545825508,18.561593420201365,7.165047294907643,739.3797634747459,20.4804355353201
LR,MIT2,None,793.3831732141614,561.4856851272791,20.850426017775042,9.194171847139486,551.2314060540872,19.568893301642806
LR,MIT3,None,807.7864191697698,570.0490901729463,21.024810799447344,9.269288269713142,557.3277705613497,19.831901173758258
LR,PCR1,None,704.2739957127615,558.6767545825508,18.561593420201365,7.165047294907643,739.3797634747459,20.4804355353201
LR,PCR2,None,2991.012024204766,4452.202238089644,25.899746668469685,14.580322878350394,739.834279421055,20.849947814225544
LR,PCR3,None,3124.6153140180345,4550.782940330763,27.039314422916654,14.165669857459338,744.2028267314184,21.013769198010902
LR,RFE1,None,1073.162706707132,835.2671300299829,23.613517480131872,11.765660952461555,739.3797634747459,20.4804355353201
LR,RFE2,None,793.3831732141614,561.4856851272791,20.850426017775042,9.194171847139486,551.2314060540872,19.568893301642806
LR,RFE3,None,2194.6649099287088,2562.615674383075,27.160045436880658,11.637439815770074,557.3277705613497,19.831901173758258
LR,None,DL1,677495.7510347276,859979.8732321474,419.3208939326013,338.0820645535893,184848.79091414012,359.7784685152762
LR,None,DL2,788392.667206952,795855.3623983231,471.8319299027377,315.66964987957107,182213.88912406162,335.41380472021206
LR,None,DL3,846038.3805584399,795120.0540459285,518.2711778030953,368.91995126357887,184853.23177369343,359.782763747148
LR,None,FA1,1594.1773541990228,1880.6439813935922,26.31345273367998,11.007327039409928,504.85765624276723,19.07727657372134
LR,None,FA2,1562.6462851288275,1656.6096935302173,27.241034890265894,10.847696930072201,499.806346743427,19.055696190058754
